Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#6 - >6925_1#52_zmpB_13 zmpB	superfamily	429548	1059	1794	0	672.361	cl06563	Peptidase_M26_C superfamily	 - 	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	428430	499	748	1.20232e-93	303.448	pfam05342	Peptidase_M26_N	 - 	cl12306
Q#6 - >6925_1#52_zmpB_13 zmpB	superfamily	428430	499	748	1.20232e-93	303.448	cl12306	Peptidase_M26_N superfamily	 - 	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	411408	155	399	1.569e-14	78.6556	NF033839	PspC_subgroup_2	N	cl41463
Q#6 - >6925_1#52_zmpB_13 zmpB	superfamily	411408	155	399	1.569e-14	78.6556	cl41463	PspC_subgroup_2 superfamily	N	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	411408	177	374	1.68135e-14	78.6556	NF033839	PspC_subgroup_2	N	cl41463
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	236766	178	353	8.43822e-12	70.4537	PRK10811	rne	N	cl35953
Q#6 - >6925_1#52_zmpB_13 zmpB	superfamily	236766	178	353	8.43822e-12	70.4537	cl35953	rne superfamily	N	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	411408	177	349	6.5724e-10	64.0181	NF033839	PspC_subgroup_2	N	cl41463
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	411407	164	349	6.1088e-09	60.7934	NF033838	PspC_subgroup_1	NC	cl41462
Q#6 - >6925_1#52_zmpB_13 zmpB	superfamily	411407	164	349	6.1088e-09	60.7934	cl41462	PspC_subgroup_1 superfamily	NC	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	429033	219	389	1.60971e-08	55.9461	pfam06614	Neuromodulin	 - 	cl25757
Q#6 - >6925_1#52_zmpB_13 zmpB	superfamily	429033	219	389	1.60971e-08	55.9461	cl25757	Neuromodulin superfamily	 - 	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	274041	210	391	2.49816e-08	57.3941	TIGR02223	ftsN	C	cl37078
Q#6 - >6925_1#52_zmpB_13 zmpB	superfamily	274041	210	391	2.49816e-08	57.3941	cl37078	ftsN superfamily	C	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	411407	155	315	3.18673e-08	58.4823	NF033838	PspC_subgroup_1	NC	cl41462
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	225629	209	373	3.2655e-08	56.7723	COG3087	FtsN	C	cl34549
Q#6 - >6925_1#52_zmpB_13 zmpB	superfamily	225629	209	373	3.2655e-08	56.7723	cl34549	FtsN superfamily	C	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	411409	4	434	3.88761e-07	55.0881	NF033840	PspC_relate_1	C	cl41464
Q#6 - >6925_1#52_zmpB_13 zmpB	superfamily	411409	4	434	3.88761e-07	55.0881	cl41464	PspC_relate_1 superfamily	C	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	411408	179	389	5.59971e-06	51.3065	NF033839	PspC_subgroup_2	NC	cl41463
Q#6 - >6925_1#52_zmpB_13 zmpB	specific	366278	69	102	1.34513e-05	43.6836	pfam00746	Gram_pos_anchor	 - 	cl23989
Q#6 - >6925_1#52_zmpB_13 zmpB	superfamily	390217	69	102	1.34513e-05	43.6836	cl23989	Gram_pos_anchor superfamily	 - 	 - 
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	411408	151	386	4.57887e-05	48.2249	NF033839	PspC_subgroup_2	C	cl41463
Q#6 - >6925_1#52_zmpB_13 zmpB	non-specific	411407	176	400	0.000112933	46.9263	NF033838	PspC_subgroup_1	NC	cl41462
Q#6 - >6925_1#52_zmpB_13 zmpB	specific	273478	72	102	0.000593478	38.6106	TIGR01167	LPXTG_anchor	 - 	cl23989
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	428430	499	683	4.07858e-67	220.63	pfam05342	Peptidase_M26_N	C	cl12306
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	428430	499	683	4.07858e-67	220.63	cl12306	Peptidase_M26_N superfamily	C	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	236766	178	353	2.43932e-10	63.9053	PRK10811	rne	N	cl35953
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	236766	178	353	2.43932e-10	63.9053	cl35953	rne superfamily	N	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	411408	181	374	8.87465e-08	55.1585	NF033839	PspC_subgroup_2	N	cl41463
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	411408	181	374	8.87465e-08	55.1585	cl41463	PspC_subgroup_2 superfamily	N	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	411407	164	349	1.08421e-07	55.0155	NF033838	PspC_subgroup_1	NC	cl41462
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	411407	164	349	1.08421e-07	55.0155	cl41462	PspC_subgroup_1 superfamily	NC	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	411408	181	372	1.13994e-07	54.7733	NF033839	PspC_subgroup_2	N	cl41463
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	411407	155	315	3.48647e-07	53.4747	NF033838	PspC_subgroup_1	NC	cl41462
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	227596	179	378	4.49044e-07	53.4643	COG5271	MDN1	N	cl34967
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	227596	179	378	4.49044e-07	53.4643	cl34967	MDN1 superfamily	N	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	specific	366278	69	102	1.18772e-05	42.528	pfam00746	Gram_pos_anchor	 - 	cl23989
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	390217	69	102	1.18772e-05	42.528	cl23989	Gram_pos_anchor superfamily	 - 	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	115071	167	308	1.64094e-05	47.1678	pfam06390	NESP55	N	cl25759
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	115071	167	308	1.64094e-05	47.1678	cl25759	NESP55 superfamily	N	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	274041	210	391	2.37686e-05	46.6085	TIGR02223	ftsN	C	cl37078
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	274041	210	391	2.37686e-05	46.6085	cl37078	ftsN superfamily	C	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	411409	4	434	3.73714e-05	46.9989	NF033840	PspC_relate_1	C	cl41464
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	411409	4	434	3.73714e-05	46.9989	cl41464	PspC_relate_1 superfamily	C	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	411409	170	437	8.81331e-05	45.8433	NF033840	PspC_relate_1	NC	cl41464
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	411409	170	437	8.81331e-05	45.8433	cl41464	PspC_relate_1 superfamily	NC	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	specific	273478	72	102	0.000226538	38.6106	TIGR01167	LPXTG_anchor	 - 	cl23989
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	411408	177	349	0.000338291	43.6025	NF033839	PspC_subgroup_2	N	cl41463
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	411407	176	400	0.00158139	41.5335	NF033838	PspC_subgroup_1	NC	cl41462
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	429496	358	432	0.00205734	37.147	pfam07501	G5	 - 	cl38232
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	429496	358	432	0.00205734	37.147	cl38232	G5 superfamily	 - 	 - 
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	non-specific	225711	45	278	0.00252826	41.0523	COG3170	FimV	N	cl34561
Q#7 - >6925_1#52_zmpB_13_s1 zmpB	superfamily	225711	45	278	0.00252826	41.0523	cl34561	FimV superfamily	N	 - 
Q#8 - >6925_1#52_zmpB_13_s2 zmpB	non-specific	428430	1	231	2.95293e-87	275.714	pfam05342	Peptidase_M26_N	 - 	cl12306
Q#8 - >6925_1#52_zmpB_13_s2 zmpB	superfamily	428430	1	231	2.95293e-87	275.714	cl12306	Peptidase_M26_N superfamily	 - 	 - 
Q#8 - >6925_1#52_zmpB_13_s2 zmpB	non-specific	429548	542	765	1.20548e-62	223.988	pfam07580	Peptidase_M26_C	C	cl06563
Q#8 - >6925_1#52_zmpB_13_s2 zmpB	superfamily	429548	542	765	1.20548e-62	223.988	cl06563	Peptidase_M26_C superfamily	C	 - 
Q#9 - >6925_1#52_zmpB_13_s3 zmpB	non-specific	429548	9	677	0	609.573	pfam07580	Peptidase_M26_C	 - 	cl06563
Q#9 - >6925_1#52_zmpB_13_s3 zmpB	superfamily	429548	9	677	0	609.573	cl06563	Peptidase_M26_C superfamily	 - 	 - 
Q#10 - >6925_2#81_PspC_53 pspC	non-specific	411407	1	594	0	800.762	NF033838	PspC_subgroup_1	 - 	cl41462
Q#10 - >6925_2#81_PspC_53 pspC	superfamily	411407	1	594	0	800.762	cl41462	PspC_subgroup_1 superfamily	 - 	 - 
Q#10 - >6925_2#81_PspC_53 pspC	non-specific	411490	167	593	1.49454e-75	253.294	NF033930	pneumo_PspA	 - 	cl41532
Q#10 - >6925_2#81_PspC_53 pspC	superfamily	411490	167	593	1.49454e-75	253.294	cl41532	pneumo_PspA superfamily	 - 	 - 
Q#10 - >6925_2#81_PspC_53 pspC	non-specific	411409	487	593	8.75318e-46	171.418	NF033840	PspC_relate_1	N	cl41464
Q#10 - >6925_2#81_PspC_53 pspC	superfamily	411409	487	593	8.75318e-46	171.418	cl41464	PspC_relate_1 superfamily	N	 - 
Q#10 - >6925_2#81_PspC_53 pspC	specific	227588	311	593	6.73348e-44	158.867	COG5263	COG5263	 - 	cl34963
Q#10 - >6925_2#81_PspC_53 pspC	superfamily	227588	311	593	6.73348e-44	158.867	cl34963	COG5263 superfamily	 - 	 - 
Q#10 - >6925_2#81_PspC_53 pspC	non-specific	411408	1	129	6.57219e-25	109.086	NF033839	PspC_subgroup_2	C	cl41463
Q#10 - >6925_2#81_PspC_53 pspC	superfamily	411408	1	129	6.57219e-25	109.086	cl41463	PspC_subgroup_2 superfamily	C	 - 
Q#10 - >6925_2#81_PspC_53 pspC	non-specific	428286	56	128	3.69528e-15	70.4779	pfam05062	RICH	 - 	cl04916
Q#10 - >6925_2#81_PspC_53 pspC	superfamily	428286	56	128	3.69528e-15	70.4779	cl04916	RICH superfamily	 - 	 - 
Q#10 - >6925_2#81_PspC_53 pspC	non-specific	173412	147	472	1.40862e-12	70.9403	PTZ00121	PTZ00121	NC	cl31754
Q#10 - >6925_2#81_PspC_53 pspC	superfamily	173412	147	472	1.40862e-12	70.9403	cl31754	PTZ00121 superfamily	NC	 - 
Q#10 - >6925_2#81_PspC_53 pspC	specific	273479	2	39	2.25943e-12	61.3442	TIGR01168	YSIRK_signal	 - 	cl22626
Q#10 - >6925_2#81_PspC_53 pspC	superfamily	451412	2	39	2.25943e-12	61.3442	cl22626	YSIRK_signal superfamily	 - 	 - 
Q#11 - >6930_8#17_PspC_43 pspC	specific	411407	1	648	0	946.752	NF033838	PspC_subgroup_1	 - 	cl41462
Q#11 - >6930_8#17_PspC_43 pspC	superfamily	411407	1	648	0	946.752	cl41462	PspC_subgroup_1 superfamily	 - 	 - 
Q#11 - >6930_8#17_PspC_43 pspC	non-specific	411490	116	647	1.18227e-132	404.293	NF033930	pneumo_PspA	 - 	cl41532
Q#11 - >6930_8#17_PspC_43 pspC	superfamily	411490	116	647	1.18227e-132	404.293	cl41532	pneumo_PspA superfamily	 - 	 - 
Q#11 - >6930_8#17_PspC_43 pspC	specific	227588	317	647	1.91482e-79	254.396	COG5263	COG5263	 - 	cl34963
Q#11 - >6930_8#17_PspC_43 pspC	superfamily	227588	317	647	1.91482e-79	254.396	cl34963	COG5263 superfamily	 - 	 - 
Q#11 - >6930_8#17_PspC_43 pspC	non-specific	411409	481	647	1.66043e-76	256.933	NF033840	PspC_relate_1	N	cl41464
Q#11 - >6930_8#17_PspC_43 pspC	superfamily	411409	481	647	1.66043e-76	256.933	cl41464	PspC_relate_1 superfamily	N	 - 
Q#11 - >6930_8#17_PspC_43 pspC	non-specific	411408	1	489	9.39988e-30	124.109	NF033839	PspC_subgroup_2	 - 	cl41463
Q#11 - >6930_8#17_PspC_43 pspC	superfamily	411408	1	489	9.39988e-30	124.109	cl41463	PspC_subgroup_2 superfamily	 - 	 - 
Q#11 - >6930_8#17_PspC_43 pspC	specific	428286	56	128	2.20466e-17	77.0263	pfam05062	RICH	 - 	cl04916
Q#11 - >6930_8#17_PspC_43 pspC	superfamily	428286	56	128	2.20466e-17	77.0263	cl04916	RICH superfamily	 - 	 - 
Q#11 - >6930_8#17_PspC_43 pspC	specific	273479	2	39	5.31599e-13	63.2702	TIGR01168	YSIRK_signal	 - 	cl22626
Q#11 - >6930_8#17_PspC_43 pspC	superfamily	451412	2	39	5.31599e-13	63.2702	cl22626	YSIRK_signal superfamily	 - 	 - 
Q#11 - >6930_8#17_PspC_43 pspC	non-specific	173412	104	495	9.13773e-11	65.5475	PTZ00121	PTZ00121	N	cl31754
Q#11 - >6930_8#17_PspC_43 pspC	superfamily	173412	104	495	9.13773e-11	65.5475	cl31754	PTZ00121 superfamily	N	 - 
Q#12 - >6930_8#17_zmpA_2 zmpA	non-specific	429548	1101	1853	0	873.82	pfam07580	Peptidase_M26_C	 - 	cl06563
Q#12 - >6930_8#17_zmpA_2 zmpA	superfamily	429548	1101	1853	0	873.82	cl06563	Peptidase_M26_C superfamily	 - 	 - 
Q#12 - >6930_8#17_zmpA_2 zmpA	non-specific	428430	557	787	6.42361e-76	252.602	pfam05342	Peptidase_M26_N	 - 	cl12306
Q#12 - >6930_8#17_zmpA_2 zmpA	superfamily	428430	557	787	6.42361e-76	252.602	cl12306	Peptidase_M26_N superfamily	 - 	 - 
Q#12 - >6930_8#17_zmpA_2 zmpA	specific	429496	319	392	4.66802e-17	77.2078	pfam07501	G5	 - 	cl38232
Q#12 - >6930_8#17_zmpA_2 zmpA	superfamily	429496	319	392	4.66802e-17	77.2078	cl38232	G5 superfamily	 - 	 - 
Q#12 - >6930_8#17_zmpA_2 zmpA	non-specific	411408	268	576	4.06865e-12	70.9517	NF033839	PspC_subgroup_2	N	cl41463
Q#12 - >6930_8#17_zmpA_2 zmpA	superfamily	411408	268	576	4.06865e-12	70.9517	cl41463	PspC_subgroup_2 superfamily	N	 - 
Q#12 - >6930_8#17_zmpA_2 zmpA	non-specific	411408	1	567	2.45598e-11	68.6405	NF033839	PspC_subgroup_2	 - 	cl41463
Q#12 - >6930_8#17_zmpA_2 zmpA	specific	273479	3	40	1.23378e-09	55.1811	TIGR01168	YSIRK_signal	 - 	cl22626
Q#12 - >6930_8#17_zmpA_2 zmpA	superfamily	451412	3	40	1.23378e-09	55.1811	cl22626	YSIRK_signal superfamily	 - 	 - 
Q#12 - >6930_8#17_zmpA_2 zmpA	non-specific	226111	239	395	7.39827e-09	59.4296	COG3583	YabE	N	cl34636
Q#12 - >6930_8#17_zmpA_2 zmpA	superfamily	226111	239	395	7.39827e-09	59.4296	cl34636	YabE superfamily	N	 - 
Q#12 - >6930_8#17_zmpA_2 zmpA	non-specific	236766	365	507	1.06462e-06	53.8901	PRK10811	rne	N	cl35953
Q#12 - >6930_8#17_zmpA_2 zmpA	superfamily	236766	365	507	1.06462e-06	53.8901	cl35953	rne superfamily	N	 - 
Q#12 - >6930_8#17_zmpA_2 zmpA	specific	428049	7	32	7.84265e-06	43.9123	pfam04650	YSIRK_signal	 - 	cl22626
Q#12 - >6930_8#17_zmpA_2 zmpA	specific	366278	88	131	6.55475e-05	41.7576	pfam00746	Gram_pos_anchor	 - 	cl23989
Q#12 - >6930_8#17_zmpA_2 zmpA	superfamily	390217	88	131	6.55475e-05	41.7576	cl23989	Gram_pos_anchor superfamily	 - 	 - 
Q#12 - >6930_8#17_zmpA_2 zmpA	specific	273478	95	128	0.00180677	37.455	TIGR01167	LPXTG_anchor	 - 	cl23989
Q#13 - >6930_8#17_zmpA_2_s1 zmpA	non-specific	428430	568	703	1.63625e-41	151.68	pfam05342	Peptidase_M26_N	C	cl12306
Q#13 - >6930_8#17_zmpA_2_s1 zmpA	superfamily	428430	568	703	1.63625e-41	151.68	cl12306	Peptidase_M26_N superfamily	C	 - 
Q#13 - >6930_8#17_zmpA_2_s1 zmpA	specific	429496	319	392	1.52987e-14	68.7334	pfam07501	G5	 - 	cl38232
Q#13 - >6930_8#17_zmpA_2_s1 zmpA	superfamily	429496	319	392	1.52987e-14	68.7334	cl38232	G5 superfamily	 - 	 - 
Q#13 - >6930_8#17_zmpA_2_s1 zmpA	specific	273479	3	40	3.8226e-10	55.1811	TIGR01168	YSIRK_signal	 - 	cl22626
